MaSV,HoTen,Diem
SV01,Nguyen Van S1,8.47
SV02,Tran Thi S2,6.58
SV03,Le Van S3,5.35
SV04,Nguyen Van S4,7.61
SV05,Tran Thi S5,5.6
SV06,Le Van S6,4.59
SV07,Nguyen Van S7,7.76
SV08,Tran Thi S8,8.07
SV09,Le Van S9,4.68
SV10,Nguyen Van S0,4.62
SV11,Tran Thi S1,5.59
SV12,Le Van S2,4.91
SV13,Nguyen Van S3,9.28
SV14,Tran Thi S4,9.6
SV15,Le Van S5,8.94
SV16,Nguyen Van S6,4.06
SV17,Tran Thi S7,4.6
SV18,Le Van S8,5.36
SV19,Nguyen Van S9,5.1
SV20,Tran Thi S0,4.8
SV21,Le Van S1,7.23
SV22,Nguyen Van S2,6.59
SV23,Tran Thi S3,8.08
SV24,Le Van S4,8.39
SV25,Nguyen Van S5,6.39
SV26,Tran Thi S6,8.36
SV27,Le Van S7,9.62
SV28,Nguyen Van S8,7.11
SV29,Tran Thi S9,7.31
SV30,Le Van S0,7.68
SV31,Nguyen Van S1,8.43
SV32,Tran Thi S2,5.35
SV33,Le Van S3,5.6
SV34,Nguyen Van S4,4.1
SV35,Tran Thi S5,9.33
SV36,Le Van S6,6.66
SV37,Nguyen Van S7,4.58
SV38,Tran Thi S8,6.66
SV39,Le Van S9,4.81
SV40,Nguyen Van S0,7.16
SV41,Tran Thi S1,5.74
SV42,Le Van S2,7.31
SV43,Nguyen Van S3,9.64
SV44,Tran Thi S4,6.58
SV45,Le Van S5,5.65
SV46,Nguyen Van S6,7.44
SV47,Tran Thi S7,4.64
SV48,Le Van S8,4.24
SV49,Nguyen Van S9,5.19
SV50,Tran Thi S0,6.35
SV51,Le Van S1,9.45
SV52,Nguyen Van S2,6.32
SV53,Tran Thi S3,5.72
SV54,Le Van S4,7.26
SV55,Nguyen Van S5,4.45
SV56,Tran Thi S6,5.49
SV57,Le Van S7,4.55
SV58,Nguyen Van S8,6.07
SV59,Tran Thi S9,6.04
SV60,Le Van S0,7.79
SV61,Nguyen Van S1,7.61
SV62,Tran Thi S2,5.03
SV63,Le Van S3,8.93
SV64,Nguyen Van S4,8.7
SV65,Tran Thi S5,9.84
SV66,Le Van S6,9.08
SV67,Nguyen Van S7,9.98
SV68,Tran Thi S8,4.35
SV69,Le Van S9,4.17
SV70,Nguyen Van S0,7.65
SV71,Tran Thi S1,4.49
SV72,Le Van S2,4.24
SV73,Nguyen Van S3,9.31
SV74,Tran Thi S4,9.27
SV75,Le Van S5,7.88
SV76,Nguyen Van S6,7.49
SV77,Tran Thi S7,5.73
SV78,Le Van S8,5.95
SV79,Nguyen Van S9,7.23
SV80,Tran Thi S0,4.66
SV81,Le Van S1,7.81
SV82,Nguyen Van S2,8.52
SV83,Tran Thi S3,4.39
SV84,Le Van S4,6.38
SV85,Nguyen Van S5,6.35
SV86,Tran Thi S6,5.76
SV87,Le Van S7,4.71
SV88,Nguyen Van S8,7.9
SV89,Tran Thi S9,8.84
SV90,Le Van S0,6.09
SV91,Nguyen Van S1,7.16
SV92,Tran Thi S2,4.56
SV93,Le Van S3,7.03
SV94,Nguyen Van S4,9
SV95,Tran Thi S5,7.63
SV96,Le Van S6,6.52
SV97,Nguyen Van S7,5.94
SV98,Tran Thi S8,8.27
SV99,Le Van S9,5.34
SV100,Nguyen Van S0,7.09
SV101,Tran Thi S1,5.04
SV102,Le Van S2,8.24
SV103,Nguyen Van S3,7.22
SV104,Tran Thi S4,8.46
SV105,Le Van S5,9.14
SV106,Nguyen Van S6,9.11
SV107,Tran Thi S7,9.5
SV108,Le Van S8,8.62
SV109,Nguyen Van S9,8.14
SV110,Tran Thi S0,9.42
SV111,Le Van S1,9.54
SV112,Nguyen Van S2,7.09
SV113,Tran Thi S3,6.86
SV114,Le Van S4,9.32
SV115,Nguyen Van S5,8.41
SV116,Tran Thi S6,9.6
SV117,Le Van S7,7.44
SV118,Nguyen Van S8,5.99
SV119,Tran Thi S9,6.2
SV120,Le Van S0,7.98
SV121,Nguyen Van S1,8.08
SV122,Tran Thi S2,7.38
SV123,Le Van S3,9.54
SV124,Nguyen Van S4,8.4
SV125,Tran Thi S5,5.92
SV126,Le Van S6,4.38
SV127,Nguyen Van S7,7.81
SV128,Tran Thi S8,9.08
SV129,Le Van S9,9.65
SV130,Nguyen Van S0,5.28
SV131,Tran Thi S1,7.62
SV132,Le Van S2,4.28
SV133,Nguyen Van S3,6.04
SV134,Tran Thi S4,6.87
SV135,Le Van S5,4.36
SV136,Nguyen Van S6,5.33
SV137,Tran Thi S7,4.3
SV138,Le Van S8,6.44
SV139,Nguyen Van S9,9.16
SV140,Tran Thi S0,5.22
SV141,Le Van S1,8.54
SV142,Nguyen Van S2,5.89
SV143,Tran Thi S3,9.4
SV144,Le Van S4,7.15
SV145,Nguyen Van S5,8.49
SV146,Tran Thi S6,4.92
SV147,Le Van S7,8.04
SV148,Nguyen Van S8,4.38
SV149,Tran Thi S9,9.72
SV150,Le Van S0,8.05
SV151,Nguyen Van S1,8.36
SV152,Tran Thi S2,9.49
SV153,Le Van S3,6.86
SV154,Nguyen Van S4,9.89
SV155,Tran Thi S5,6.4
SV156,Le Van S6,5.01
SV157,Nguyen Van S7,4.99
SV158,Tran Thi S8,5.68
SV159,Le Van S9,9.34
SV160,Nguyen Van S0,8.95
SV161,Tran Thi S1,4.75
SV162,Le Van S2,5.88
SV163,Nguyen Van S3,4.14
SV164,Tran Thi S4,5.36
SV165,Le Van S5,6.81
SV166,Nguyen Van S6,5.71
SV167,Tran Thi S7,8.55
SV168,Le Van S8,5.13
SV169,Nguyen Van S9,6.68
SV170,Tran Thi S0,4.27
SV171,Le Van S1,7.75
SV172,Nguyen Van S2,4.47
SV173,Tran Thi S3,4.14
SV174,Le Van S4,9.78
SV175,Nguyen Van S5,8.68
SV176,Tran Thi S6,6.25
SV177,Le Van S7,5.55
SV178,Nguyen Van S8,4.32
SV179,Tran Thi S9,6.72
SV180,Le Van S0,9.58
SV181,Nguyen Van S1,6.53
SV182,Tran Thi S2,8.92
SV183,Le Van S3,6.28
SV184,Nguyen Van S4,7.49
SV185,Tran Thi S5,5.22
SV186,Le Van S6,5.7
SV187,Nguyen Van S7,5.92
SV188,Tran Thi S8,6.78
SV189,Le Van S9,7.72
SV190,Nguyen Van S0,8.52
SV191,Tran Thi S1,7.74
SV192,Le Van S2,7.94
SV193,Nguyen Van S3,4.6
SV194,Tran Thi S4,5.82
SV195,Le Van S5,4.78
SV196,Nguyen Van S6,8.99
SV197,Tran Thi S7,8.15
SV198,Le Van S8,4.16
SV199,Nguyen Van S9,9.26
SV200,Tran Thi S0,4.25
SV201,Le Van S1,7.32
SV202,Nguyen Van S2,4.95
SV203,Tran Thi S3,5.37
SV204,Le Van S4,7.91
SV205,Nguyen Van S5,8.28
SV206,Tran Thi S6,4.59
SV207,Le Van S7,4.9
SV208,Nguyen Van S8,9.76
SV209,Tran Thi S9,5.55
SV210,Le Van S0,8.08
SV211,Nguyen Van S1,4.22
SV212,Tran Thi S2,9.44
SV213,Le Van S3,9.21
SV214,Nguyen Van S4,9.81
SV215,Tran Thi S5,5.02
SV216,Le Van S6,5.17
SV217,Nguyen Van S7,4.62
SV218,Tran Thi S8,4.98
SV219,Le Van S9,5.41
SV220,Nguyen Van S0,4.86
SV221,Tran Thi S1,5.63
SV222,Le Van S2,5.38
SV223,Nguyen Van S3,7.2
SV224,Tran Thi S4,5.32
SV225,Le Van S5,8.06
SV226,Nguyen Van S6,8.47
SV227,Tran Thi S7,5.77
SV228,Le Van S8,7.07
SV229,Nguyen Van S9,5.13
SV230,Tran Thi S0,8.54
SV231,Le Van S1,7.88
SV232,Nguyen Van S2,9.75
SV233,Tran Thi S3,9.27
SV234,Le Van S4,8.51
SV235,Nguyen Van S5,6.11
SV236,Tran Thi S6,7.47
SV237,Le Van S7,4.42
SV238,Nguyen Van S8,8.48
SV239,Tran Thi S9,5.77
SV240,Le Van S0,7.31
SV241,Nguyen Van S1,7
SV242,Tran Thi S2,6.97
SV243,Le Van S3,4.34
SV244,Nguyen Van S4,5.86
SV245,Tran Thi S5,5.76
SV246,Le Van S6,8.86
SV247,Nguyen Van S7,4.19
SV248,Tran Thi S8,4.98
SV249,Le Van S9,9.49
SV250,Nguyen Van S0,8.8
SV251,Tran Thi S1,5.97
SV252,Le Van S2,7.15
SV253,Nguyen Van S3,7.23
SV254,Tran Thi S4,9.52
SV255,Le Van S5,6.28
SV256,Nguyen Van S6,9.18
SV257,Tran Thi S7,5.84
SV258,Le Van S8,6.56
SV259,Nguyen Van S9,4.26
SV260,Tran Thi S0,7.01
SV261,Le Van S1,5.05
SV262,Nguyen Van S2,4.35
SV263,Tran Thi S3,8.17
SV264,Le Van S4,8.16
SV265,Nguyen Van S5,4.12
SV266,Tran Thi S6,7.89
SV267,Le Van S7,7.06
SV268,Nguyen Van S8,7.92
SV269,Tran Thi S9,7.94
SV270,Le Van S0,5.52
SV271,Nguyen Van S1,8.45
SV272,Tran Thi S2,6.89
SV273,Le Van S3,6.05
SV274,Nguyen Van S4,4.8
SV275,Tran Thi S5,4.87
SV276,Le Van S6,5.91
SV277,Nguyen Van S7,8.45
SV278,Tran Thi S8,6.39
SV279,Le Van S9,9.69
SV280,Nguyen Van S0,8.29
SV281,Tran Thi S1,5.11
SV282,Le Van S2,6.83
SV283,Nguyen Van S3,6.16
SV284,Tran Thi S4,5.83
SV285,Le Van S5,9.17
SV286,Nguyen Van S6,4.03
SV287,Tran Thi S7,8.98
SV288,Le Van S8,6.98
SV289,Nguyen Van S9,9.85
SV290,Tran Thi S0,6.46
SV291,Le Van S1,9.56
SV292,Nguyen Van S2,4.35
SV293,Tran Thi S3,5.15
SV294,Le Van S4,6.73
SV295,Nguyen Van S5,5.77
SV296,Tran Thi S6,7.66
SV297,Le Van S7,5.26
SV298,Nguyen Van S8,8.94
SV299,Tran Thi S9,6.56
SV300,Le Van S0,7.57
SV301,Nguyen Van S1,4.03
SV302,Tran Thi S2,7.37
SV303,Le Van S3,5.79
SV304,Nguyen Van S4,7.94
SV305,Tran Thi S5,8.6
SV306,Le Van S6,5.27
SV307,Nguyen Van S7,5.9
SV308,Tran Thi S8,6.93
SV309,Le Van S9,6.77
SV310,Nguyen Van S0,5.79
SV311,Tran Thi S1,6.61
SV312,Le Van S2,7.73
SV313,Nguyen Van S3,7.44
SV314,Tran Thi S4,6.62
SV315,Le Van S5,9.84
SV316,Nguyen Van S6,7.01
SV317,Tran Thi S7,5.03
SV318,Le Van S8,4.1
SV319,Nguyen Van S9,8.35
SV320,Tran Thi S0,7.77
SV321,Le Van S1,6.24
SV322,Nguyen Van S2,5.49
SV323,Tran Thi S3,5.28
SV324,Le Van S4,7.07
SV325,Nguyen Van S5,4.46
SV326,Tran Thi S6,7.77
SV327,Le Van S7,7.92
SV328,Nguyen Van S8,9.63
SV329,Tran Thi S9,5.67
SV330,Le Van S0,6.12
SV331,Nguyen Van S1,9.02
SV332,Tran Thi S2,5.54
SV333,Le Van S3,7.95
SV334,Nguyen Van S4,9.54
SV335,Tran Thi S5,5.96
SV336,Le Van S6,7.8
SV337,Nguyen Van S7,5.33
SV338,Tran Thi S8,6.2
SV339,Le Van S9,4.23
SV340,Nguyen Van S0,7.67
SV341,Tran Thi S1,8.43
SV342,Le Van S2,4.65
SV343,Nguyen Van S3,5.68
SV344,Tran Thi S4,5.23
SV345,Le Van S5,9.3
SV346,Nguyen Van S6,8.23
SV347,Tran Thi S7,7.38
SV348,Le Van S8,6.11
SV349,Nguyen Van S9,9.7
SV350,Tran Thi S0,9.41
SV351,Le Van S1,6.49
SV352,Nguyen Van S2,4.51
SV353,Tran Thi S3,8.51
SV354,Le Van S4,4.32
SV355,Nguyen Van S5,6.84
SV356,Tran Thi S6,5.6
SV357,Le Van S7,7.45
SV358,Nguyen Van S8,4.94
SV359,Tran Thi S9,6.64
SV360,Le Van S0,4.81
SV361,Nguyen Van S1,9.09
SV362,Tran Thi S2,6.87
SV363,Le Van S3,9.7
SV364,Nguyen Van S4,9.5
SV365,Tran Thi S5,8.33
SV366,Le Van S6,6.6
SV367,Nguyen Van S7,9.64
SV368,Tran Thi S8,5.58
SV369,Le Van S9,9.93
SV370,Nguyen Van S0,4.72
SV371,Tran Thi S1,4.4
SV372,Le Van S2,8.02
SV373,Nguyen Van S3,4.61
SV374,Tran Thi S4,7.64
SV375,Le Van S5,9.84
SV376,Nguyen Van S6,4.65
SV377,Tran Thi S7,9.04
SV378,Le Van S8,5.29
SV379,Nguyen Van S9,5.14
SV380,Tran Thi S0,7.97
SV381,Le Van S1,9.88
SV382,Nguyen Van S2,5.07
SV383,Tran Thi S3,4.24
SV384,Le Van S4,4.13
SV385,Nguyen Van S5,9.42
SV386,Tran Thi S6,8.16
SV387,Le Van S7,8.86
SV388,Nguyen Van S8,8.95
SV389,Tran Thi S9,9.73
SV390,Le Van S0,6.33
SV391,Nguyen Van S1,7.04
SV392,Tran Thi S2,7.15
SV393,Le Van S3,4.05
SV394,Nguyen Van S4,4.36
SV395,Tran Thi S5,5.59
SV396,Le Van S6,8.58
SV397,Nguyen Van S7,8.09
SV398,Tran Thi S8,6.84
SV399,Le Van S9,9.97
SV400,Nguyen Van S0,6.67
SV401,Tran Thi S1,4.3
SV402,Le Van S2,5.89
SV403,Nguyen Van S3,9.85
SV404,Tran Thi S4,8.22
SV405,Le Van S5,5.71
SV406,Nguyen Van S6,9.53
SV407,Tran Thi S7,7.67
SV408,Le Van S8,9.18
SV409,Nguyen Van S9,8.18
SV410,Tran Thi S0,9.63
SV411,Le Van S1,5.99
SV412,Nguyen Van S2,8.24
SV413,Tran Thi S3,6.78
SV414,Le Van S4,4.93
SV415,Nguyen Van S5,6.05
SV416,Tran Thi S6,4.72
SV417,Le Van S7,6.46
SV418,Nguyen Van S8,9.01
SV419,Tran Thi S9,4.55
SV420,Le Van S0,4.81
SV421,Nguyen Van S1,4.55
SV422,Tran Thi S2,5.69
SV423,Le Van S3,5.94
SV424,Nguyen Van S4,7.49
SV425,Tran Thi S5,7.72
SV426,Le Van S6,6.15
SV427,Nguyen Van S7,7.78
SV428,Tran Thi S8,7.41
SV429,Le Van S9,4.83
SV430,Nguyen Van S0,4.24
SV431,Tran Thi S1,9.32
SV432,Le Van S2,4.8
SV433,Nguyen Van S3,8.13
SV434,Tran Thi S4,6.97
SV435,Le Van S5,6.63
SV436,Nguyen Van S6,9.21
SV437,Tran Thi S7,7.6
SV438,Le Van S8,9.83
SV439,Nguyen Van S9,7.86
SV440,Tran Thi S0,4.21
SV441,Le Van S1,4.88
SV442,Nguyen Van S2,6.47
SV443,Tran Thi S3,8.85
SV444,Le Van S4,7.38
SV445,Nguyen Van S5,7.51
SV446,Tran Thi S6,6.16
SV447,Le Van S7,6.4
SV448,Nguyen Van S8,9.75
SV449,Tran Thi S9,7.59
SV450,Le Van S0,4.07
SV451,Nguyen Van S1,8.54
SV452,Tran Thi S2,4.79
SV453,Le Van S3,9.53
SV454,Nguyen Van S4,8.47
SV455,Tran Thi S5,6.47
SV456,Le Van S6,8.47
SV457,Nguyen Van S7,9.87
SV458,Tran Thi S8,8.54
SV459,Le Van S9,4.84
SV460,Nguyen Van S0,5.34
SV461,Tran Thi S1,9.26
SV462,Le Van S2,6.06
SV463,Nguyen Van S3,7.08
SV464,Tran Thi S4,4.61
SV465,Le Van S5,6.62
SV466,Nguyen Van S6,6.78
SV467,Tran Thi S7,5.27
SV468,Le Van S8,6.81
SV469,Nguyen Van S9,9.93
SV470,Tran Thi S0,7.44
SV471,Le Van S1,8.35
SV472,Nguyen Van S2,7.61
SV473,Tran Thi S3,6.54
SV474,Le Van S4,6.27
SV475,Nguyen Van S5,5.18
SV476,Tran Thi S6,4.96
SV477,Le Van S7,4.75
SV478,Nguyen Van S8,4.78
SV479,Tran Thi S9,9.3
SV480,Le Van S0,5.41
SV481,Nguyen Van S1,7.26
SV482,Tran Thi S2,4.08
SV483,Le Van S3,8.89
SV484,Nguyen Van S4,7.5
SV485,Tran Thi S5,5.15
SV486,Le Van S6,4.16
SV487,Nguyen Van S7,9.87
SV488,Tran Thi S8,4.16
SV489,Le Van S9,5.87
SV490,Nguyen Van S0,9.86
SV491,Tran Thi S1,8.6
SV492,Le Van S2,8.75
SV493,Nguyen Van S3,7.9
SV494,Tran Thi S4,4.73
SV495,Le Van S5,7.55
SV496,Nguyen Van S6,8.48
SV497,Tran Thi S7,7.38
SV498,Le Van S8,4.6
SV499,Nguyen Van S9,9.29
SV500,Tran Thi S0,5.2
SV501,Le Van S1,7.23
SV502,Nguyen Van S2,9.62
SV503,Tran Thi S3,6.96
SV504,Le Van S4,6.81
SV505,Nguyen Van S5,5.6
SV506,Tran Thi S6,6.96
SV507,Le Van S7,7.65
SV508,Nguyen Van S8,8.39
SV509,Tran Thi S9,5.16
SV510,Le Van S0,4.64
SV511,Nguyen Van S1,9.52
SV512,Tran Thi S2,5.31
SV513,Le Van S3,6.46
SV514,Nguyen Van S4,8.83
SV515,Tran Thi S5,9.7
SV516,Le Van S6,9.21
SV517,Nguyen Van S7,6.06
SV518,Tran Thi S8,7.6
SV519,Le Van S9,9.02
SV520,Nguyen Van S0,5.56
SV521,Tran Thi S1,4.41
SV522,Le Van S2,9.33
SV523,Nguyen Van S3,8.14
SV524,Tran Thi S4,6.63
SV525,Le Van S5,4.31
SV526,Nguyen Van S6,5.82
SV527,Tran Thi S7,8.31
SV528,Le Van S8,4.46
SV529,Nguyen Van S9,5.33
SV530,Tran Thi S0,9.1
SV531,Le Van S1,6.18
SV532,Nguyen Van S2,6.08
SV533,Tran Thi S3,8.51
SV534,Le Van S4,5.15
SV535,Nguyen Van S5,9.38
SV536,Tran Thi S6,6.88
SV537,Le Van S7,4.99
SV538,Nguyen Van S8,7.5
SV539,Tran Thi S9,4.68
SV540,Le Van S0,6.31
SV541,Nguyen Van S1,7.9
SV542,Tran Thi S2,9.34
SV543,Le Van S3,8.69
SV544,Nguyen Van S4,7.46
SV545,Tran Thi S5,6.47
SV546,Le Van S6,9.92
SV547,Nguyen Van S7,4.66
SV548,Tran Thi S8,5.63
SV549,Le Van S9,4.77
SV550,Nguyen Van S0,8.7
SV551,Tran Thi S1,4.63
SV552,Le Van S2,8.45
SV553,Nguyen Van S3,4.23
SV554,Tran Thi S4,4.56
SV555,Le Van S5,5.91
SV556,Nguyen Van S6,5.69
SV557,Tran Thi S7,7.97
SV558,Le Van S8,4.61
SV559,Nguyen Van S9,8.81
SV560,Tran Thi S0,5.53
SV561,Le Van S1,5.21
SV562,Nguyen Van S2,5.01
SV563,Tran Thi S3,8.08
SV564,Le Van S4,6.62
SV565,Nguyen Van S5,9.43
SV566,Tran Thi S6,5.87
SV567,Le Van S7,8.01
SV568,Nguyen Van S8,8.18
